name,male,female,related
Christi,1,1,"Chris,Chrissie,Chrissy,Christa,Christiana,Christie,Christina,Christine,Christy,Ina,Kiki,Kris,Krista,Kristi,Kristie,Kristina,Kristine,Kristy,Krystina,Tina"
Christiaan,1,0,Chris
Christian,1,1,"Chris,Christer,Kresten,Kris,Krister,Kristian"
Christiana,0,1,"Chris,Chrissie,Chrissy,Christa,Christi,Christie,Christina,Christy,Ina,Kiki,Kristi,Kristie,Kristina,Kristy,Krystina,Tiana,Tianna,Tina"
Christiane,1,1,"Chris,Christa,Christel,Christelle,Christin,Christina,Christine,Ina,Kiki,Krista,Kristiane,Kristin,Kristina,Kristine"
Christianne,0,1,
Christie,1,1,"Chris,Chrissie,Chrissy,Christa,Christi,Christiana,Christina,Christine,Christy,Ina,Kiki,Kris,Krista,Kristi,Kristie,Kristina,Kristine,Kristy,Krystina,Tina"
Christin,1,1,"Chris,Christa,Christel,Christiane,Christina,Christine,Ina,Kiki,Kirstine,Kristiane,Kristin,Kristina,Kristine,Stina,Stine"
Christina,1,1,"Chris,Chrissie,Chrissy,Christa,Christel,Christi,Christiana,Christiane,Christie,Christin,Christine,Christy,Ina,Kia,Kiki,Kine,Kirstine,Kjersti,Kris,Krista,Kristel,Kristi,Kristiane,Kristie,Kristin,Kristina,Kristine,Kristy,Krystina,Stien,Stina,Stine,Tiana,Tina,Tine,Tineke"
Christine,1,1,"Chris,Chrissie,Chrissy,Christa,Christel,Christelle,Christi,Christiane,Christie,Christin,Christina,Christy,Ina,Kia,Kiki,Kine,Kirstine,Kjersti,Kris,Krista,Kristel,Kristi,Kristiane,Kristie,Kristin,Kristina,Kristine,Kristy,Stien,Stina,Stine,Tina,Tine"
Christoffer,1,0,"Chris,Kris,Kristoffer"
Christoph,1,0,Chris
Christophe,1,0,
Christopher,1,1,"Chip,Chris,Kit,Kris,Kristopher,Topher"
Christos,1,0,"Christ,Christakis"
Christy,1,1,"Chris,Chrissie,Chrissy,Christa,Christi,Christiana,Christie,Christina,Christine,Ina,Kiki,Kris,Krista,Kristi,Kristie,Kristina,Kristine,Kristy,Krystina,Tina"
Chrystal,1,1,"Christal,Crystal,Kristal,Krystal,Krystle"
Chuck,1,0,"Charles,Charley,Charlie,Chas,Chaz,Chip,Chuckie,Chucky"
Chuckie,1,0,"Charles,Charley,Charlie,Chas,Chaz,Chip,Chuck,Chucky"
Chucky,1,0,"Charles,Charley,Charlie,Chas,Chaz,Chip,Chuck,Chuckie"
Chukwuemeka,1,0,"Chuks,Emeka"
Chyna,0,1,China
Cian,1,1,"Cianán,Kean,Keane,Keenan"
Ciara,1,1,"Ciera,Cierra,Kiera,Sierra"
Ciaran,1,1,
Cicely,0,1,"Cecelia,Cecilia,Cecily"
Cicero,1,0,
Ciera,1,1,"Ciara,Cierra,Sierra"
Cierra,1,1,"Ciara,Ciera,Sierra"
Cillian,1,0,"Cillín,Kilian,Killian"
Cinderella,0,1,Cendrillon
Cindi,0,1,"Cindy,Cyndi,Cynthia"
Cindra,0,1,
Cindy,1,1,"Cindi,Cyndi,Cynthia,Lucinda"
Cintia,0,1,
Cipriano,1,0,
Ciro,1,0,Cirino
Citlali,0,1,Citlalli
Citlalli,0,1,Citlali
Clair,1,1,
Claire,1,1,Clara
Clancy,1,1,
Clara,1,1,"Chiara,Chiarina,Claire,Clare,Claretta,Claribel,Clarinda,Klara"
Clare,1,1,"Clara,Claribel,Clarinda"
Clarence,1,1,
Claretta,0,1,"Chiara,Clara"
Claribel,0,1,"Clara,Clare,Clarinda"
Clarice,1,1,Clarissa
Clarinda,0,1,"Clara,Clare,Claribel"
Clarisa,0,1,
Clarissa,1,1,Clarice
Clarisse,0,1,
Clarity,0,1,
Clark,1,1,
Claud,1,1,Claude
Claude,1,1,"Claud,Claudette,Claudie,Claudine"
Claudette,1,1,"Claude,Claudie,Claudine"
Claudia,1,1,
Claudie,1,1,"Claude,Claudette,Claudine"
Claudine,1,1,"Claude,Claudette,Claudie"
Claudio,1,1,
Claudius,1,0,
Clay,1,1,
Clayton,1,1,
Clea,1,1,
Clelia,0,1,
Clem,1,1,Clement
Clemence,1,1,
Clemens,1,0,Klemens
Clement,1,1,Clem
Clemente,1,0,
Clementina,0,1,"Clementia,Tina"
Clementine,0,1,
Cleo,1,1,
Cleon,1,1,Kleon
Cleopatra,0,1,Kleopatra
Cleophas,1,1,
Cletis,1,1,Cletus
Cletus,1,1,
Cleve,1,1,Cleveland
Cleveland,1,1,Cleve
Cliff,1,0,"Clifford,Clifton"
Clifford,1,1,Cliff
Clifton,1,1,Cliff
Clint,1,1,Clinton
Clinton,1,1,Clint
Clio,1,1,Kleio
Clive,1,0,
Cloe,1,1,
Clotilde,0,1,Clothilde
Clover,1,1,
Clovis,1,1,"Chlodovech,Clodovicus,Hludowig,Louis,Ludovic,Ludovicus"
Clyde,1,1,
Coby,1,1,"Jacob,Jake,Jaycob,Jeb,Koby"
Coco,0,1,
Codie,1,1,"Cody,Coty,Kody"
Cody,1,1,"Codie,Coty,Kody"
Coen,1,0,"Coenraad,Koenraad"
Cohen,1,1,
Colbert,1,0,
Colby,1,1,Kolby
Cole,1,1,Kole
Coleen,0,1,Colleen
Coleman,1,1,"Colm,Colmán,Colum"
Colene,0,1,"Coleen,Colleen"
Colette,0,1,"Coline,Nicole,Nicolette"
Colin,1,1,"Cailean,Calum,Coilean,Collin,Nic,Nicholas,Nick,Nickolas,Nicky,Nik,Nikolas"
Colleen,1,1,Coleen
Collin,1,1,"Colin,Nic,Nicholas,Nick,Nickolas,Nicky,Nik,Nikolas"
Collyn,1,1,"Coleen,Colin,Colleen,Collin,Nic,Nicholas,Nick,Nickolas,Nicky,Nik,Nikolas"
Colm,1,0,"Coleman,Colmán,Colum,Columban"
Colman,1,0,
Colt,1,1,
Colten,1,0,"Colton,Kolton"
Colton,1,1,"Colten,Kolton"
Conall,1,0,
Conan,1,0,
Concepcion,1,1,
Concetta,1,1,Concettina
Concha,0,1,"Chita,Concepción,Conchita"
Conchita,0,1,"Chita,Concepción,Concha"
Conley,1,1,Conleth
Connell,1,1,
Conner,1,1,"Connor,Konnor"
Connie,1,1,"Conrad,Constance,Cornelius"
Connor,1,1,"Conchobhar,Conchúr,Conner,Conor,Konnor"
Conor,1,1,"Conchobar,Conchobhar,Conchúr,Connor"
Conrad,1,1,"Connie,Cord,Konrad,Kuno,Kurt"
Conrado,1,0,
Constance,1,1,Connie
Constantina,0,1,
Constantine,1,1,
Constantino,1,0,
Constanza,0,1,
Consuela,0,1,"Chelo,Consuelo"
Consuelo,1,1,Chelo
Conway,1,0,
Cooper,1,1,
Cora,1,1,"Cordula,Coretta,Corie,Corina,Corinna,Cornelia,Corrie,Kore,Korë,Kornelia,Lia,Nele,Nelly"
Coral,1,1,
Coralie,0,1,Coraline
Coraline,0,1,Coralie
Corbin,1,1,Korbin
Cord,1,0,"Conrad,Konrad,Kuno,Kurt"
Cordelia,0,1,Cordeilla
Cordell,1,1,
Coreen,0,1,"Corine,Corinne,Corrine"
Coretta,0,1,"Cora,Corie,Corrie"
Corey,1,1,"Korey,Kory"
Cori,1,1,"Corie,Corrie,Kori"
Corie,1,1,"Cora,Coretta,Cori,Corina,Corinna,Corrie,Corrina,Kori"
Corin,1,1,
Corina,0,1,"Cora,Corie,Corinna,Corrie,Corrina"
Corine,1,1,"Corinne,Corrine"
Corinna,0,1,"Cora,Corie,Corina,Corrie,Corrina,Korinna"
Corinne,1,1,"Corine,Corrine"
Cormac,1,0,
Cornel,1,0,Corneliu
Cornelia,1,1,"Cora,Corrie,Corry,Kornelia,Lia,Lieke,Neeltje,Nele,Nelly"
Cornelio,1,0,
Cornelius,1,1,"Cees,Connie,Cor,Corné,Cornelis,Kees,Kerneels,Niels"
Cornell,1,1,
Corrie,1,1,"Cora,Coretta,Cori,Corie,Corina,Corinna,Cornelia,Corrina,Corry,Kori,Lia,Lieke,Neeltje,Nele"
Corrina,0,1,"Corie,Corina,Corinna,Corrie"
Corrine,0,1,"Corine,Corinne"
Corry,1,1,"Cornelia,Corrie,Lia,Lieke,Neeltje,Nele"
Cortney,1,1,"Courtney,Kortney,Kourtney"
Corwin,1,0,
Cory,1,1,
Corynn,0,1,"Corine,Corinne,Corrine"
Cosette,0,1,
Cosimo,1,0,"Cosma,Cosmo"
Cosme,1,0,
Cosmo,1,0,"Cosimo,Cosma"
Coty,1,1,"Codie,Cody,Kody"
Courtney,1,1,"Cortney,Kortney,Kourtney"
Coy,1,1,
Craig,1,1,
Crawford,1,1,
Cree,1,1,
Creighton,1,1,
Crew,1,1,
Crispin,1,1,Crispian
Cristal,1,1,
Cristen,1,1,"Christen,Kristen,Kristin,Krysten"
Cristi,0,1,Cristian
Cristian,1,1,Cristi
Cristiana,0,1,"Cristina,Tina"
Cristiano,1,0,
Cristina,1,1,"Cristiana,Tina"
Cristobal,1,1,
Cruz,1,1,
Crystal,1,1,"Christal,Chrystal,Kristal,Krystal,Krystle"
Cuauhtemoc,1,0,
Cullen,1,1,
Curt,1,0,"Curtis,Kurt,Kurtis"
Curtis,1,1,"Curt,Kurtis"
Cy,1,1,"Cyril,Cyrus,Kyrie"
Cyan,1,1,
Cydney,1,1,"Sydney,Sydnie"
Cyndi,0,1,"Cindi,Cindy,Cynthia"
Cynthia,1,1,"Cindi,Cindy,Cyndi,Kynthia"
Cyra,0,1,
Cyril,1,1,Cy
Cyrus,1,1,"Cy,Kyros"
Daenerys,1,1,
Dafne,0,1,
Dagan,1,1,Dagon
Dagmar,0,1,Dáša
Dagny,0,1,
Dahlia,0,1,
Daina,1,1,
Daisy,1,1,
Dakarai,1,1,
Dakota,1,1,
Dale,1,1,
Daley,1,1,
Daleyza,0,1,
Dalia,1,1,"Dalit,Dalya"
Dalila,0,1,
Dallas,1,1,
Dalton,1,1,
Dalya,0,1,"Dalia,Dalit"
Damaris,1,1,
Damian,1,1,Damion
Damiana,0,1,
Damien,1,1,
Damion,1,1,Damian
Damir,1,1,Dado
Damon,1,1,
Dan,1,1,"Dani,Daniel,Danilo,Danne,Danni,Dannie,Danny,Dănuț,Dany"
Dana,1,1,"Bogdana,Daniela,Danka,Danuše,Danuška,Danya,Gordana,Yordana,Yordanka"
Danae,1,1,
Dane,1,1,Dean
Danette,0,1,"Daniela,Daniella,Danna"
Dani,1,1,"Daan,Dan,Dániel,Daniël,Daniel,Danielle,Danilo,Danna,Danni,Dannie,Danny"
Dania,1,1,"Daniela,Danila,Daniyah,Danya"
Danial,1,1,Daniyal
Danica,0,1,Danika
Daniel,1,1,"Dan,Danail,Dancho,Dančo,Dani,Danijel,Danilo,Danne,Danni,Dannie,Danny,Dănuț,Dany,Taaniel,Tanel,Taneli,Taniel,Tatu"
Daniela,1,1,"Dana,Dania,Daniella,Danka,Danna,Danuše,Danuška"
Daniele,1,1,Danilo
Daniella,1,1,"Daniela,Danna"
Danielle,1,1,"Dani,Danièle,Danna,Danni,Dannie,Dany"
Danika,0,1,Danica
Danilo,1,0,"Dan,Dani,Daniel,Daniele,Danijel,Danko"
Danita,0,1,"Daniela,Daniella,Danna"
Daniyah,0,1,"Dania,Danya"
Daniyal,1,0,Danial
Danna,1,1,"Dani,Daniela,Daniella,Danielle,Danni,Dannie"
Danne,1,1,"Dan,Daniel"
Danni,1,1,"Dan,Dani,Daniel,Danielle,Danna,Dannie"
Dannie,1,1,"Dan,Dani,Daniel,Danielle,Danna,Danni,Danny"
Danny,1,1,"Daan,Dan,Dani,Daniël,Daniel,Dannie"
Dante,1,1,Durante
Dany,1,1,"Dan,Daniel,Danièle,Danielle"
Danya,1,1,"Dana,Dania,Daniyah"
Danyal,1,1,
Daphne,1,1,
Daquan,1,1,
Dara,1,1,"Dáire,Darach,Daragh,Darragh"
Darby,1,1,
Darcey,1,1,"Darcie,Darcy"
Darcie,0,1,"Darcey,Darcy"
Darcy,1,1,"Darcey,Darcie"
Darek,1,0,Dariusz
Darell,1,1,"Darrel,Darrell,Darryl,Daryl"
Daren,1,1,"Darian,Darien,Darin,Darion,Darren,Darrin"
Daria,1,1,"Dareia,Darija,Darya,Dasha"
Darian,1,1,"Daren,Darien,Darin,Darion,Darren,Darrin"
Darien,1,1,"Daren,Darian,Darin,Darion,Darren,Darrin"
Darin,1,1,"Daren,Darian,Darien,Darion,Darren,Darrin"
Darina,0,1,Dáiríne
Dario,1,0,
Darion,1,1,"Daren,Darian,Darien,Darin,Darren,Darrin"
Daris,1,1,
Darius,1,1,
Darla,1,1,"Darleen,Darlene"
Darleen,0,1,"Darla,Darlene"
Darlene,1,1,"Darla,Darleen"
Darnell,1,1,
Darrel,1,1,"Darell,Darrell,Darryl,Daryl"
Darrell,1,1,"Darell,Darrel,Darryl,Daryl"
Darren,1,1,"Daren,Darian,Darien,Darin,Darion,Darrin"
Darrin,1,1,"Daren,Darian,Darien,Darin,Darion,Darren"
Darryl,1,1,"Darell,Darrel,Darrell,Daryl"
Darshan,1,1,
Dartagnan,1,0,
Darwin,1,1,
Darya,0,1,"Daria,Dasha"
Daryl,1,1,"Darell,Darrel,Darrell,Darryl"
Dasha,0,1,"Daria,Darya"
Dashiell,1,1,
Dat,1,0,
Dathan,1,0,
Dave,1,1,"Davey,David,Davie,Davy"
Davey,1,1,"Dave,David,Davie,Davy"
Davi,1,1,David
David,1,1,"Dafydd,Dai,Dàibhidh,Dave,Davey,Davi,Davie,Davy,Dewi,Dewydd,Taffy"
Davida,1,1,Davina
Davide,1,0,
Davie,1,1,"Dàibhidh,Dave,Davey,David,Davy"
Davin,1,1,
Davina,0,1,
Davis,1,1,
Davy,1,1,"Dave,Davey,David,Davie"
Dawn,1,1,
Dawson,1,1,
Dawud,1,0,"Daud,Dawood"
Dax,1,1,Daxton
Daxton,1,0,Dax
Dayna,1,1,
Dayton,1,1,
Deacon,1,0,
Dean,1,1,Dane
Deana,1,1,"Deanna,Deanne,Deeann,Deena,Dina"
Deandre,1,1,Andre
Deangelo,1,1,
Deanna,1,1,"Deana,Deanne,Deeann,Deena,Dina"
Deanne,1,1,"Deana,Deanna,Deeann,Deena,Dina"
Deb,0,1,"Debbi,Debbie,Debby,Debi,Deborah,Debra"
Debbi,0,1,"Deb,Debbie,Debby,Debi,Deborah,Debra"
Debbie,1,1,"Deb,Debbi,Debby,Debi,Deborah,Debra"
Debby,0,1,"Deb,Debbi,Debbie,Debi,Deborah,Debra"
Debi,0,1,"Deb,Debbi,Debbie,Debby,Deborah,Debra"
Debora,1,1,
Deborah,1,1,"Deb,Debbi,Debbie,Debby,Debi,Debra"
Debra,1,1,"Deb,Debbi,Debbie,Debby,Debi,Deborah"
Declan,1,1,
Dedrick,1,1,
Dee,1,1,"Dodie,Dollie,Dolly,Dora,Doreen,Doretta,Dorinda,Dorothea,Dorothy,Dortha,Dorthy,Dory,Dot,Dottie,Dotty"
Deeann,0,1,"Deana,Deanna,Deanne,Deena,Dina"
Deena,1,1,"Deana,Deanna,Deanne,Deeann,Dina"
Deepak,1,0,Dipak
Defne,0,1,
Deforest,1,0,
Deidra,0,1,"Deidre,Deirdre"
Deidre,1,1,"Deidra,Deirdre"
Deion,1,1,Deon
Deirdre,0,1,"Deidra,Deidre,Derdriu"
Deitra,0,1,"Deidra,Deidre,Deirdre"
Deja,1,1,
Delaney,1,1,
Delano,1,1,
Delbert,1,1,
Delfina,0,1,
Delia,1,1,"Adaline,Adela,Adelia,Adeline,Adella,Biddy,Bridget,Bridgette,Della"
Delicia,0,1,
Delight,0,1,
Delilah,0,1,
Dell,1,1,
Della,1,1,"Adaline,Adalyn,Adalynn,Addie,Addilyn,Addy,Adela,Adelaide,Adelia,Adeline,Adella,Adelyn,Adelynn,Delia"
Delma,1,1,"Feidhelm,Fidelma"
Delmar,1,1,
Delora,0,1,"Delores,Deloris,Dollie,Dolly,Dolores"
Delores,1,1,"Delora,Deloris,Dollie,Dolly,Dolores"
Deloris,1,1,"Delora,Delores,Dollie,Dolly,Dolores"
Delphia,0,1,
Delphina,0,1,
Delphine,1,1,
Delroy,1,0,
Delta,1,1,
Delwyn,1,0,
Dema,0,1,Dima
Demetra,1,1,"Demi,Dimi,Dimitra"
Demetria,1,1,
Demetrio,1,0,
Demetrios,1,0,"Demetrius,Dimitrios,Dimitris,Dimos"
Demetrius,1,1,Demetrios
Demi,1,1,"Demetra,Dimi,Dimitra"
Demir,1,0,Timur
Demon,1,0,
Dena,1,1,
Dene,1,1,"Dane,Dean,Dena"
Denice,0,1,Denise
Deniece,0,1,"Denice,Denise"
Denis,1,1,"Den,Dennis,Denny"
Denisa,0,1,
Denise,1,1,Denice
Deniz,1,1,
Dennis,1,1,"Den,Denis,Denny"
Denny,1,1,"Den,Denis,Dennis"
Denton,1,0,
Denver,1,1,
Denys,1,1,
Denzel,1,1,Denzil
Denzil,1,1,Denzel
Deon,1,1,"Deion,Dion"
Deonte,1,1,
Derek,1,1,"Dederick,Derick,Derrick"
Derick,1,1,"Dederick,Derek,Derrick"
Derin,1,1,
Derrick,1,1,"Dederick,Derek,Derick"
Derry,1,1,"Dermot,Diarmaid,Diarmuid"
Derryl,1,1,"Darell,Darrel,Darrell,Darryl,Daryl"
Deryck,1,0,"Dederick,Derek,Derick,Derrick"
Deshaun,1,1,Keshaun
Deshawn,1,1,"Keshawn,Rashawn"
Desi,1,1,
Desiderio,1,0,
Desirae,0,1,Desiree
Desire,1,1,
Desiree,1,1,Desirae
Desmond,1,1,Des
Despina,0,1,Despoina
Destinee,0,1,Destiny
Destiny,1,1,Destinee
Dev,1,0,Deo
Devan,1,1,"Deven,Devin,Devon"
Deven,1,1,"Devan,Devin,Devon"
Devi,0,1,
Devika,0,1,
Devin,1,1,"Devan,Deven,Devon"
Devon,1,1,"Devan,Deven,Devin"
Devora,0,1,"Devorah,Dvora,Dvorah"
Devorah,0,1,"Devora,Dvora,Dvorah"
Devyn,1,1,
Dewayne,1,1,"Duane,Dwain,Dwayne"
Dewey,1,1,
Dex,1,0,Dexter
Dexter,1,1,Dex
Deziree,0,1,"Desirae,Desiree"
Dharma,1,1,
Diamantina,0,1,Diamanto
Diamond,1,1,
Dian,1,1,
Diana,1,1,"Di,Dianna"
Diane,1,1,"Diann,Dianne,Dyan"
Diann,0,1,"Diane,Dianne,Dyan"
Dianna,1,1,"Di,Diana"
Dianne,1,1,"Diane,Diann,Dyan"
Diantha,0,1,
Dick,1,1,"Diede,Diederik,Dirk,Rich,Richard,Richie,Rick,Rickey,Ricki,Rickie,Ricky,Ritchie,Ties,Tijmen"
Didier,1,0,
Diego,1,1,"Santi,Santiago"
Dieter,1,0,Didi
Dietrich,1,1,"Diederich,Dierk,Dirk,Thilo,Till,Tilo"
Dilan,1,1,
Dillan,1,1,"Dillon,Dylan"
Dillon,1,1,"Dillan,Dylan"
Dimas,1,0,
Dimitra,0,1,"Demetra,Demi,Dimi"
Dimitri,1,1,Dima
Dimitrios,1,0,"Demetrios,Dimitris,Dimos"
Dina,1,1,"Agostina,Alda,Aldina,Berendina,Bernardina,Deana,Deanna,Deanne,Deeann,Deena,Deina,Gerarda,Gerda,Gerdina,Ondina"
Dinah,0,1,
Dino,1,0,"Agostino,Bernardino,Bernardo,Corradino,Corrado"
Dion,1,1,"Deon,Dionysios,Dionysius"
Dione,1,1,Dionne
Dionisio,1,0,
Dionne,1,1,Dione
Dirk,1,0,"Dederick,Derek,Derick,Derrick,Dick,Diede,Diederich,Diederik,Dierk,Dietrich,Ties,Tijmen"
Disha,0,1,
Divina,0,1,
Divya,1,1,
Dixie,1,1,
Dixon,1,1,
Diya,1,1,"Zia,Ziya"
Dmitri,1,0,"Dimka,Dmitrii,Dmitriy,Dmitry,Mitya"
Dmitriy,1,0,"Dimka,Dmitri,Dmitrii,Dmitry,Mitya"
Dmitry,1,0,"Dimka,Dmitri,Dmitrii,Dmitriy,Mitya"
Docia,0,1,
Dodie,0,1,"Dee,Dollie,Dolly,Dora,Doreen,Doretta,Dorinda,Dorothea,Dorothy,Dortha,Dorthy,Dory,Dot,Dottie,Dotty"
Dollie,1,1,"Dee,Delora,Delores,Deloris,Dodie,Dolly,Dolores,Dora,Dorothea,Dorothy,Dortha,Dorthy,Dory,Dot,Dottie,Dotty"
Dolly,1,1,"Dee,Delora,Delores,Deloris,Dodie,Dollie,Dolores,Dora,Doreen,Doretta,Dorinda,Dorothea,Dorothy,Dortha,Dorthy,Dory,Dot,Dottie,Dotty"
Dolores,1,1,"Delora,Delores,Deloris,Dollie,Dolly,Lola,Lolita"
Dolph,1,0,Adolph
Domenic,1,0,"Dom,Dominic,Dominick,Nic"
Domenica,0,1,
Domenico,1,0,
Dominga,1,1,
Domingo,1,1,
Dominic,1,1,"Dom,Domenic,Dominick,Nic"
Dominica,0,1,
Dominick,1,1,"Dom,Domenic,Dominic,Nic"
Dominik,1,1,"Dinko,Domen,Domonkos"
Dominika,0,1,
Dominique,1,1,
Don,1,1,"Donald,Donnie,Donny"
Dona,1,1,Donna
Donal,1,1,"Domhnall,Domnall,Dónal"
Donald,1,1,"Domhnall,Domnall,Don,Donnie,Donny"
Donalda,0,1,"Donaldina,Donella"
Donata,0,1,Donatella
Donato,1,0,Donatello
Donella,0,1,"Donalda,Donaldina"
Donelle,1,1,Donna
Donna,1,1,Dona
Donnie,1,1,"Don,Donald,Donny"
Donny,1,1,"Don,Donald,Donnie"
Donovan,1,1,
Dora,1,1,"Dee,Dodie,Dollie,Dolly,Dorean,Doreen,Doretta,Dorinda,Dorine,Dorita,Dorotea,Dorotéia,Doroteia,Doroteja,Doroteya,Dorothea,Dorothy,Dortha,Dorthy,Dory,Dot,Dottie,Dotty,Isidora,Tea,Teodora,Thea,Theodora,Todorka"
Doran,1,1,
Dorcas,0,1,
Doreen,1,1,"Dee,Dodie,Dolly,Dora,Dorean,Doretta,Dorinda,Dorine,Dorothea,Dorothy,Dortha,Dorthy,Dory,Dot,Dottie,Dotty,Theodora"
Doretta,0,1,"Dee,Dodie,Dollie,Dolly,Dora,Dorean,Doreen,Dorinda,Dorine,Dorotea,Dorothea,Dorothy,Dortha,Dorthy,Dory,Dot,Dottie,Dotty,Teodora,Thea,Theodora"
Dori,0,1,
Doria,0,1,
Dorian,1,1,
Dorina,0,1,"Dóra,Dorka,Dorottya,Teodóra"
Dorinda,0,1,"Dee,Dodie,Dolly,Dora,Dorean,Doreen,Doretta,Dorine,Dorothea,Dorothy,Dortha,Dorthy,Dory,Dot,Dottie,Dotty,Theodora"
Dorine,0,1,"Dora,Dorean,Doreen,Doretta,Dorinda,Dorothea,Dorothy,Dortha,Dorthy,Theodora"
Doris,1,1,"Dorris,Dory"
Dorita,0,1,"Dora,Dorotea,Isidora,Teodora"
Doron,1,0,
Dorothea,1,1,"Dee,Dodie,Dolly,Dora,Dorothy,Dortha,Dorthy,Dory,Dot,Dottie,Dotty,Thea"
Dorothy,1,1,"Dee,Dodie,Dollie,Dolly,Dora,Dorean,Doreen,Doretta,Dorinda,Dorine,Dorothea,Dortha,Dorthy,Dory,Dot,Dottie,Dotty,Thea"
Dorris,1,1,"Doris,Dory"
Dortha,0,1,"Dee,Dodie,Dollie,Dolly,Dora,Dorean,Doreen,Doretta,Dorinda,Dorine,Dorothea,Dorothy,Dorthy,Dory,Dot,Dottie,Dotty"
Dorthea,0,1,"Ditte,Dorit,Dorrit,Dorte,Dorthe"
Dorthy,1,1,"Dee,Dodie,Dollie,Dolly,Dora,Dorean,Doreen,Doretta,Dorinda,Dorine,Dorothea,Dorothy,Dortha,Dory,Dot,Dottie,Dotty"
Dory,1,1,"Dee,Dodie,Dollie,Dolly,Dora,Doreen,Doretta,Dorinda,Doris,Dorothea,Dorothy,Dorris,Dortha,Dorthy,Dot,Dottie,Dotty"
Dot,1,1,"Dee,Dodie,Dollie,Dolly,Dora,Doreen,Doretta,Dorinda,Dorothea,Dorothy,Dortha,Dorthy,Dory,Dottie,Dotty"
Dottie,0,1,"Dee,Dodie,Dollie,Dolly,Dora,Doreen,Doretta,Dorinda,Dorothea,Dorothy,Dortha,Dorthy,Dory,Dot,Dotty"
Dotty,0,1,"Dee,Dodie,Dollie,Dolly,Dora,Doreen,Doretta,Dorinda,Dorothea,Dorothy,Dortha,Dorthy,Dory,Dot,Dottie"
Doug,1,1,Douglas
Douglas,1,1,"Doug,Dubhghlas"
Douglass,1,1,Dubhghlas
Dov,1,0,
Dove,1,1,
Dovid,1,0,Dudel
Doyle,1,1,
Draco,1,0,Drakon
Drake,1,1,
Draven,1,1,
Dre,1,1,Andre
Drea,0,1,"Andi,Andie,Andrea,Andy"
Dream,1,1,
Drew,1,1,"Andie,Andrew,Andy"
Drusilla,0,1,Drusa
Dua,0,1,
Duana,0,1,
Duane,1,1,"Dewayne,Dwain,Dwayne"
Dudley,1,1,
Duke,1,0,
Dulce,1,1,
Dulcie,0,1,
Duncan,1,1,Donnchadh
Dung,1,1,
Durward,1,0,
Dustin,1,1,Dusty
Dusty,1,1,Dustin
Dutch,1,0,
Dwain,1,0,"Dewayne,Duane,Dwayne"
Dwayne,1,1,"Dewayne,Duane,Dwain"
Dwight,1,1,
Dyan,1,1,"Diane,Diann,Dianne"
Dylan,1,1,"Dillan,Dillon"
Dyson,1,1,
Eamon,1,0,"Éamon,Éamonn"
Eamonn,1,0,
Ean,1,0,Juan
Earl,1,1,"Earle,Erle"
Earle,1,1,"Earl,Erle"
Earleen,0,1,"Earlene,Earline"
Earlene,1,1,Earline
Earline,1,1,Earlene
Earnest,1,1,"Ern,Ernest,Ernie"
Earnestine,1,1,Ernestine
Eartha,1,1,
Easter,1,1,
Easton,1,1,
Ebba,1,1,
Eben,1,1,
Ebenezer,1,1,
Eber,1,0,
Ebony,1,1,
Echo,1,1,
Ed,1,1,"Eddie,Eddy,Edgar,Edmund,Eduard,Edward,Edwin,Ned,Ted,Teddie,Teddy,Ward"
Eda,0,1,
Edan,1,1,"Aidan,Aodh,Aodhagán,Aodhán"
Edda,0,1,Edvige
Eddie,1,1,"Ed,Eddy,Edgar,Edmund,Edward,Edwin,Ned,Ted,Teddie,Teddy"
Eddy,1,1,"Ed,Eddie,Edgar,Edmund,Eduard,Edward,Edwin,Ned,Ted,Teddie,Teddy,Ward"
Edelmira,0,1,
Eden,1,1,
Eder,1,0,
Edgar,1,1,"Ed,Eddie,Eddy,Edgard"
Edgard,1,0,Edgar
Edgardo,1,0,Édgar
Edie,1,1,"Edith,Edythe"
Edison,1,1,
Edith,1,1,"Ditte,Edie,Edit,Edythe"
Edmond,1,1,Edmé
Edmund,1,1,"Ed,Eddie,Eddy,Ned"
Edmundo,1,0,
Edna,1,1,"Aithne,Eithne,Ena,Enya,Ethna,Ethne,Etna"
Edouard,1,0,
Edric,1,0,
Edsel,1,0,
Eduard,1,0,"Ed,Eddy,Edi,Edvard,Ward"
Eduardo,1,1,"Dado,Du,Duarte,Duda,Dudu,Edu,Lalo"
Edvin,1,0,
Edward,1,1,"Ed,Eddie,Eddy,Ned,Ted,Teddie,Teddy"
Edwin,1,1,"Ed,Eddie,Eddy"
Edwina,0,1,
Edwyn,1,0,"Ed,Eddie,Eddy,Edwin"
Edythe,0,1,"Edie,Edith"
Eesa,1,0,"Essa,Isa,Issa,Yasu"
Effie,1,1,"Eppie,Euphemia,Oighrig"
Efraim,1,0,Ephraim
Efrain,1,1,
Efrem,1,0,
Egbert,1,0,
Eileen,1,1,"Aileen,Alene,Aline,Eibhlín,Ilene"
Einar,1,0,
Eino,1,0,
Eitan,1,0,Eytan
Ekaterina,0,1,"Jekaterina,Katenka,Katerina,Katia,Katya,Katyusha,Yekaterina"
Ela,0,1,"Alena,Alenka,Ayla,Eliza,Elizabeta,Elżbieta,Helena,Jela,Jelena,Jelica,Jelisaveta,Jelka,Špela"
Eladio,1,0,
Elaina,0,1,"Elaine,Lainey,Laney"
